Symbol,eps,div
WFC,12.82,1.6
WMT,55.77,2.06
WBC,14.52,0
V,32.04,0.78
VZ,7.71,2.37
VRSK,31.69,0
VRSN,38.27,0
USG,74.34,0
USB,13.61,1.27
UPS,18.45,3.56
FOXA,18.8,0.36
TMK,6.42,0.63
KHC,6.04,2.5
KO,76.6,1.54
SYF,8.28,0.66
SNY,23.38,1.6
QSR,17.31,1.56
PSX,6.94,3
MCO,28.5,1.7
MDLZ,20.08,0.92
MA,40.78,1
MTB,15.38,3.3
LEE,2.76,0
KMI,-,0.65
JNJ,258.17,3.48
IBM,20.03,6.14
GHC,8.4,5.26
GS,13.91,3.1
GM,72.7,1.52
DAL,11.96,1.27
DVA,19.08,0
COST,32.62,2.14
CHTR,8.46,0
BK,11.98,1
BAC,13.55,0.51
AXTA,87.21,0
AAPL,14.99,2.62
AXP,27.04,1.44
AAL,16.47,0.4
