Symbol,eps,div
WMT,1.75,0.02
LUV,6.34,0.01
SO,2.4,0.02
QCOM,-3.33,0.02
PRSP,1.15,0
NEE,17.57,0.04
X,3.82,0
MS,4.16,0.01
MFGP,1.92,0.01
INTC,3.2,0.01
HPQ,2.74,0.01
HPE,2,0
GIS,3.59,0.02
XOM,5.44,0.03
DXC,6.43,0.01
DIS,8.36,0.02
DFS,6.73,0.02
AAPL,11.91,0.03
AAL,2.44,0
AMZN,17.85,0
SBUX,3.24,0.01
PFE,3.96,0.01
GILD,1.21,0.02
EOG,8.54,0.01
0II2.L,164.4,0.03
AAM.L,24.3,0
ABC.L,1.72,0
ASY.L,294.5,0
BKG.L,61.2,0.05
CCC.L,30.5,0.02
GAW.L,69.9,0.02
HWDN.L,90.1,0
IGG.L,9,0.06
JIM.L,30.5,0.05
JMF.L,182.3,0.04
NAIT.L,550.2,0.02
QQ..L,30.2,0.01
RSW.L,26.9,0.05
SXS.L,243.6,0.02
WINK.L,182.6,0.01
XPP.L,20.6,0
ZYT.L,33.4,0.04
DXC,3.74,0.03
GILD,8.95,0.02
HPE,1.72,0.09
HPQ,2.99,0.01
INTC,0,0.02
KMI,17.77,0.01
LYB,10,0.09
PRSP,2.24,0.02
SIMO,1.24,0.01
SHI,14.81,0.04
QQQ,-0.19,0.04
SPY,2.77,0.03
XLK,2.74,0.02
ADES,2,0.03
LMT,1.67,0.03
PFE,6.39,0.01
DIS,7.92,0.02
